,count
la,16560
les,11280
le,11012
pas,11012
de,10847
est,10747
dans,8626
on,8530
un,7279
ai,6858
et,6784
des,6762
tu,6483
en,6352
que,6012
je,5635
suis,5392
pour,4995
comme,4746
ça,3956
du,3939
mon,3839
sur,3812
qui,3699
ma,3680
mais,3509
me,3372
plus,3184
si,3096
une,3079
tout,3071
quand,2667
elle,2511
mes,2482
faire,2423
au,2339
fait,2313
fais,2312
moi,2263
avec,1832
vie,1792
te,1788
il,1780
ouais,1775
ils,1729
veux,1721
ton,1641
même,1638
es,1595
trop,1580
nous,1557
rien,1488
as,1401
faut,1392
sais,1391
ta,1369
bien,1347
va,1307
ne,1234
vais,1178
tous,1173
toi,1171
sans,1165
ce,1156
sont,1079
se,1064
oh,1056
jamais,1026
là,1010
ou,999
temps,994
par,971
toujours,956
son,921
dit,913
tes,899
monde,897
veut,895
mal,870
ont,866
sous,864
tête,861
aime,857
être,800
deux,798
cœur,784
où,781
vois,774
peux,720
gros,681
peu,673
donc,662
ces,653
avant,652
juste,651
leur,628
seul,617
nos,616
amour,609
mort,606
encore,603
aux,598
eh,586
ah,582
sa,581
personne,575
viens,573
dis,571
vu,556
voir,554
cette,553
étais,545
jour,541
vous,527
yeux,521
mère,520
fois,515
était,512
parle,511
dire,489
pourquoi,486
toute,484
chez,482
lui,481
mets,479
quoi,471
crois,469
passe,468
gens,463
non,459
puis,459
prends,451
sale,440
bon,439
nuit,438
depuis,438
maintenant,434
nan,431
reste,428
sens,426
connais,426
vrai,421
ici,415
ses,408
laisse,406
chaque,405
merde,402
mieux,401
noir,400
pense,399
parce,398
car,397
loin,394
beaucoup,387
après,387
déjà,380
soir,379
qu,378
tellement,375
peur,374
rap,374
comment,370
ville,369
autre,368
part,366
très,365
putain,362
toutes,359
arrive,356
sors,356
oui,356
font,354
fils,345
avais,343
ceux,342
peut,342
ciel,336
mauvais,335
dis-moi,334
gang,333
plein,331
sait,331
besoin,329
frère,326
baby,323
bang,321
négro,321
regarde,317
love,315
argent,313
terre,311
fond,308
entre,308
fume,307
moins,307
dieu,306
tant,303
veulent,301
arrête,299
vas,298
eux,296
est-ce,295
sang,294
devant,292
pris,291
go,288
combien,284
belle,283
han,282
bas,278
air,277
parler,275
avoir,274
shit,273
peine,272
jusqu'à,272
demande,271
autres,270
aller,270
leurs,268
compte,268
tire,268
heure,267
attends,267
rentre,266
main,266
no,264
corps,263
ouh,263
vient,260
prendre,259
dois,258
cash,258
alors,258
maman,257
feu,255
ni,255
haine,255
pute,254
bébé,253
rue,253
gars,253
vivre,253
sort,252
roule,250
demain,250
quelques,250
donne,249
rêves,246
baise,244
jeune,243
